q_id,query
43,"- Какие действия необходимо выполнить, чтобы принять перевод на сумму 00000 рублей?"
44,- Какую сумму уже поступило?
45,"- ""Подскажите, какие шаги нужно выполнить для подачи заявки?"""
46,"- Какие меры вы можете предпринять, чтобы решить проблему с отсутствием средств на карте?"
47,"Здравствуйте, вот причина: В приложении вы не можете видеть свою карту, так как она еще не активирована. Чтобы активировать ее, вам необходимо пройти несколько шагов:"
48,"- Как я могу проверить, подключена ли моя карта к этому номеру?"
49,- Как отменить запись в банкомате?
50,- Какой процесс для создания кредитного счета?
51,- Как происходит создание расчетного счета?
52,"- Как мне проверить, что услуга была оплачена и сумма списана?"
53,- Как узнать номер своего счета?
54,"- ""Нужна ли мне информация о том, была ли проведена последняя оплата?"""
55,- Как создать расчетный счет?
56,Я видела только одну карту в мобильном приложении.
57,"- ""Как узнать номер своего расчетного счета?"""
58,- Как мне проверить историю расходов?
59,- Почему возникают проблемы с пополнением счета?
60,"- ""Разобраться, как удалить личный кабинет"""
61,Нужна лицензионная карта
62,Вот два варианта перефразированного вопроса:
63,- Почему сумма на детской карте не отображается в личном кабинете?
64,- Какой шаг требуется для получения бик карты вместе с счетом?
65,Назовите пожалуйста мой ипотечный договорный номер.
66,- Как отключить рассылки о поступлениях денег?
67,"Вот две варианта перефразированного запроса, сохраняющие его основной смысл:"
68,"Здравствуйте! Мне нужна помощь с кешбэком. Сегодня я оплатила билеты на самолёт, сумма была 00000 руб. На прошлой неделе у меня был скидочный баланс -00%. Как мне теперь получить эти кэшбековые средства?"
69,"Я 0 мая сделал платеж по кредиту, деньги были перечислены на счет?"
70,Здравствуйте. Как найти номер договора на карте?
71,Могу ли я использовать средства карты до момента получения?
72,- Какие товары представлены на сайте?
73,"- ""Одобрено 0000 рублей 💖"""
74,Куда пропала моё кредитное устройство?
75,"Здравствуйте, я случайно забыл свою карту с лимитом 00000. А счет остается? Можно ли мне вернуть карту через приложение?"
76,"Здравствуйте, хотелось бы узнать, из何处 выплачиваются средства на моей кредитной карте?"
77,- Как я могу узнать причину отсутствия полной суммы на моем счету?
78,- Каким образом можно подтвердить转账无需通过短信？
79,- Как происходит зачисление средств на кредитную карту?
80,"- ""С чем связано блокировка счета на этом номере?"""
81,- Как удалить аккаунт?
82,1. Почему после последнего пополнения на счете появились средства?
83,"- Как мне проверить, что деньги были приняты?"
84,"Здравствуйте, пожалуйста, расскажите мне о том, какие данные нужны для получения БИК банка?"
85,Я был выдан кредит на оплату товаров. Позднее я решил его досрочно погасить. На счету осталось 0000 рублей.
86,- Чему отображаются часы?
87,- Почему вы говорите о другом балансе?
88,- Как узнать номер вашего банковского счета?
89,- Как узнать БИК банка?
90,"Добрый день! Какой офис банка расположен для физических лиц? Меняются ли валюты, такие как тенге, на рубли?"
91,А можно установить процентное вознаграждение для использования этой услуги на оплату картой вместо использовании стикера?
92,- Почему мой номер телефона заблокирован?
93,Добрый день. Я ищу историю перевода с указанием года начала и года окончания.
94,"Когда я хочу получить код, а не через пуш-уведомление, можно ли отправить сообщение на телефон?"
95,Куда пропали мои кредитные карты? Почему я не могу их найти?
96,"- ""Нет новых поступлений в мою историю операций?"""
97,Я оформила карту. Как это сделать?
98,- Как я могу рассчитывать на оплату за детский сад?
99,- Какие шаги необходимы для начала работы?
100,- Как можно привязать новый номер телефона для использования второй дебетовой картой?
101,"- Какой шаг требуется выполнить, чтобы создать доступ к счету?"
102,- Какие счета у меня есть?
103,"Здравствуйте, мне необходимо узнать, как я могу получить всю сумму, которую отправили на мою банковскую карточку."
104,"- ""Разобрать номер телефона для перевода на карту"""
105,- Как долго держит действительность?
106,"Добрый день. Я столкнулся с вопросами о детских пособиях и выплатах с материнского капитала. Пожалуйста, сообщите мне, где именно эти средства, так как они отсутствуют на моем счету."
107,Мне отправили предложение о максимальной сумме 0 рублей. Но я оформил эту сумму на 0 рублей. Почему отображается сумма 0 рублей?
108,Отделение Митино работает:
109,"- ""У меня есть либо ввод, либо выходит деньги?"""
110,- Какие банковские счета мне сейчас активны?
111,Откуда происходят деньги
112,- Какие размеры остатков на моей кредитной карте?
113,- Как это работает?
114,"- Как я могу узнать, сколько средств остается на моей карте?"
115,"- Что необходимо сделать, чтобы открыть доступ к балансу?"
116,- Как узнать дату начала использования кредитной карты?
117,- Как я могу использовать пластиковую карту после ее получения?
118,- Как вычислить номер счета?
119,1. Почему уведомления на телефоне от банка недоступны?
120,- Какие часы работы для круглосуточных банков?
121,- Как мне узнать номер расчетного счета?
122,За последний месяц
123,Измените запрос:
124,Бик и НН банк
125,"- ""Что нужно для успешной проверки реквизитов?"""
126,"Здравствуйте, пожалуйста, объясните, что это за пополнение, которое мне пришло?"
127,- Можно ли переводить средства из кредитной карты без дополнительных расходов?
128,"- Как можно обновить телефон, если он еще используется?"
129,- Как мне получить информацию о моем расчетном счете?
130,- Почему задерживается платеж по счету?
131,- Какой сервис предлагает Onetotrip?
132,- Изменяются ли данные на карте после переподписки?
133,"Здравствуйте, почему уведомления о пополнении нет?"
134,"Здравствуйте. Пожалуйста, отключите кредитную функцию на моей карте, и дайте мне использовать только свои денежные средства."
135,Мои финансовые данные
136,- Какие основные виды работы существуют?
137,- Какой офис банка предоставляет возможность просмотра БИК?
138,- Как мне следует ввести номер карты для записи?
139,"- Как проверить, что средства были успешно转入 счет?"
140,Прошел ли последний разовый платеж на сумме 000 рублей?
141,1. Каким образом можно найти платежи за сентябрь XXXXX?
142,Как избавиться от связи карты с другим смартфоном?
143,"Конечно, вот два варианта перефразированного вопроса:"
144,- Почему не могу получить информацию о сроках действия?
145,"- ""Попробую приехать в Пушкино завтра, если это возможно."""
146,- Что такое операция?
147,- Какие требования предъявляются для получения криптографической карты?
148,- Как мне проверить свои существующие банковские карты?
149,- Какой номер карты БИК?
150,Нужно получить сканы документов.
151,"- Как я могу проверить, куда перешли деньги из моего счета?"
152,- Какой человек имеет право на получение денег и является владельцем мобильного устройства?
153,- Почему на моей кредитной карте нет показания о максимальной сумме?
154,- Какой тип операции следует провести?
155,- Какой метод для получения временного пароля?
156,"Кто-то, кто управляет картой?"
157,- Какой номер банкоматика и расчётного счета мне найти?
158,- Чему следует обратиться для настройки и подключения ребенка к детской карте?
159,"Здравствуйте. Что нужно сделать, чтобы восстановить пароль, когда приложение требует ввести текущий пароль, который забыл?"
160,Когда мне нужно внести сумму долга?
161,- Почему детский счет может не получать сообщения от банка?
162,Можно узнать подробности о моих картах?
163,"- Что нужно сделать, чтобы исправить ошибку при регистрации карты подорожник?"
164,- Почему история операций не отображается?
165,- Какие действия следует предпринять для оспаривания операций?
166,"Адрес: Кызыл, улица Ленина, дом 00"
167,- Какие платформы предоставляют кэшбэк?
168,- Когда будет доступна рассмотрение заявки?
169,"Подскажите, будет ли банк работать в 0 мая? У нас есть план заехать завтра для оформления авто-кредита, возможно, нам смогут дать ответ завтра или нет?"
170,- Как начать работу с счетом?
171,"У меня приходят деньги на карту Альфа, но уведомления нет, почему?"
172,- Меняется ли номер банковской карты?
173,"- ""Какой контактный номер для обращений в управление находится в Туапсе?"""
174,"- ""Вот почему я забрала карту на вокзале"""
175,"Здравствуйте. Какова карта Альфа-Тревел? В чём её преимущества, если они есть?"
176,"- ""Мошенничество или проблема с деньгами?"""
177,- Как я могу найти информацию о моем кредитном счете?
178,- Почему карта не выводится в личном кабинете?
179,- Какие преимущества предоставляют бонусы сверху?
180,- Почему мои денежные средства не могут быть просмотрены?
181,- Какой адрес я могу использовать для постановки на учет в банке?
182,"Здравствуйте, пожалуйста, укажите БИК."
183,- Как происходит процесс получения денег на карте?
184,"- ""Сколько времени займет доставка денег?"""
185,"Здравствуйте,"
186,- Как узнать номер расчетного счета на карте?
187,"- После того как я отберу карту, она начнет отображаться в приложении?"
188,"- Как проверить, почему приходит SMS-сообщение, а не уведомление?"
189,Возможные варианты перепишения:
190,- Почему денежные средства недоступны на балансе?
191,1. Как я могу удалить чужой счет из моего номера?
192,- Что нужно для открытия нового кредитного счета?
193,А где же эта сумма? Она почему-то не прописана там.
194,"- Что делать, когда пользователь заметил, что некоторые карта были удалены из приложения?"
195,1. Почему не видно средств на счетах?
196,- Какое устройство используется для отображения информации о детских картах?
197,- Как я могу узнать свой расчетный счет?
198,Когда я передал деньги
199,Перенести запись в банк
200,- Почему SMS проверки не приходят?
201,Я только что получил свою кредитную карту
202,Здравствуйте! Почему мне трудно видеть мой кредитный счет?
203,- Какие действия можно выполнить через системы?
204,- Как мне найти все свои счета?
205,"- Какие действия необходимо предпринять, чтобы открыть уведомление о переводе на мобильное устройство?"
206,- Какие операции проводятся в финансовой системе?
207,"- ""Извещение о пришедшем сообщении"""
208,- Какой шаг необходимо выполнить для изменения пароля?
209,"Добрый день,"
210,"- Как найти информацию о том, где можно получить одобрение для кредита?"
211,- Как я могу настроить рассылку уведомлений через банк?
212,- Почему в приложении отсутствует информация о детской карте?
213,"1. Какой шаг следует пройти, чтобы отправить код для активации карты, если он не поступает на телефон?"
214,- Как узнать смс-код для открытия вклада?
215,- Почему карта не отображается?
216,- Как можно избежать необходимости ввести повторно номер карты и номер телефона каждый раз?
217,- Какое устройство используется для транзакций?
218,"- Как узнать, когда истечет период действия карты?"
219,Переводы мне доставались сегодня
220,Конечно! Вот две варианты перефразирования вашего запроса:
221,- Как можно проверить свои счета?
222,"- Какой адрес имеет отделение банка в городе Ростове, где можно написать заявление на возврат денег?"
223,- Почему стоит обратиться за помощью специалиста?
224,- Как узнать номер моей карты?
225,"Здравствуйте! Могу ли я узнать, какие методы используются для снятия остатков на счете и закрытия счета в Альфа-банке?"
226,"- ""Как мне подать заявку на получение услуги?"""
227,- Каков срок предполагаемой выдачи кредитки в мобильном приложении?
228,- Почему вы не можете войти в приложение после изменения номера телефона?
229,Подсказка: Как мне найти все оплаты для ООО «Кладовкин»?
230,- Почему банк не установил мою кредитную карту в личном кабинете?
231,Куда отправляются средства после пополнения счета?
232,- Почему список карт недоступен?
233,1. Как мне правильно обновить номер телефона для входа в приложение?
234,Какие банкоматы работают в Якутске сегодня?
235,"Здравствуйте, я хотел бы узнать, как мне воспользоваться рассрочкой на сумму 0000 рублей. Мне нужно найти номер моего счета для этого процесса."
236,- Каким образом можно обновить данные о телефонной книге?
237,"- Как мне восстановить привязанную карту, которая потерялась?"
238,Была ли проведена пополнение на сумму *0000?
239,"- Что нужно сделать, чтобы активировать электронную подпись в Альфа Инвестиции через SMS?"
240,- Проверил ли я оплату?
241,- Как можно узнать уникальный ИД карточки?
242,- Какова дата запуска карточки?
243,- Как узнать номер своего банковского счета?
244,"Я получил карту Альфа-Банка, однако номер карты не соответствует номеру, который я нашла на сайте онлайн-банкинга. Кроме того, на моей банковской карте есть другой номер, а в приложении он указывает другой номер карты."
245,- Почему уведомления о пополнении карты не поступают?
246,- Как это можно решить?
247,Банки на каминтери
248,Реквизиты мне трудно найти на сайте.
249,- Как заменить порядок цифр в номере телефона?
250,- Как происходит кешаут?
251,1. Какой сайт для входа в онлайн-банк?
252,"Доброе утро. Мне нужно отменить договор, на котором мне выдали деньги в рассрочку. Моя сумма, которая была долгаю, я уже заполнил, но почему-то не могу его отменить. Помогите, пожалуйста, мне отменить это расписание."
253,- Как мне это сделать?
254,"- Как это работает, почему эти сообщения прекратились?"
255,- Какой была последняя покупка на сайте?
256,- Как мне получить номер счета на карте?
257,### Перефразированные версии:
258,- Как мне открыть счет на основе баланса 00.000 руб.?
259,- Как можно найти историю списания средств со своего карточного счета?
260,- Что было сделано более года назад?
261,- Какие операции можно совершить с помощью банковской карты?
262,- Почему карту тратят куда?
263,- Как мне узнать текущий лимит на использовании кредитной карты?
264,Вот два варианта перефразированного вопроса:
265,1. Почему уведомления о списании средств отключены?
266,- Когда последний раз я заблокировал свои банковские карты?
267,Перевести 0 тысяч рублей через Сбербанк на минуту назад. Почему я не могу найти этот перевод в истории платежей?
268,"1. Почему нет SMS-сообщений для оплаты, хотя уведомления включены?"
269,Узнать адрес для использования картой для оплаты услуг
270,- Как найти информацию о местоположении?
271,### Перефразированные версии:
272,"Это заявка на одобрение одного кредита? Я имею несколько кредитных соглашений, связанных друг с другом?"
273,- Какой счет был переведен мне на основании двух поступлений?
274,"- ""Как найти информацию о номерах договоров для кредитной карты?"""
275,"Дорогой клиент, вот что вам необходимо узнать:"
276,- Какой сервис предлагает транспортная компания для оплаты проезда в мае?
277,"Добрый день, я ищу номер договора Альфа-Страхования - Жизнь на основании погашенного кредита."
278,- Какой сервис для отслеживания нужен?
279,- Как сделать последнее переводе?
280,- Какие действия необходимы для открытия счета?
281,- Как найти БИК и счёт на карте?
282,Конечно! Вот два варианта для вашего исходного запроса:
283,- Чем можно узнать БИК банка?
284,- Какой документ или сервис позволяет мне увидеть информацию о моей карте?
285,Сегодня является праздником или выходным днем?
286,- Как можно проверить все доходы на боковой страничке сайта?
287,- Какой адрес для проверки наличия денежных средств?
288,Мои бонусные баллы
289,"Здравствуйте! Какие номера договоров страхования по кредитам, которые я выкупила досрочно?"
290,- Почему уведомления об зачислении средств отсутствуют?
291,1. Каким образом была осуществлена операция зачисления денежных средств на счет?
292,"Мне прислали карту XXXXX и хотелось бы узнать, как ее использовать?"
293,"Вопрос о том, как начисляется кэшбек"
294,- Что необходимо сделать для получения суммы на счет с помощью дебетовой карты?
295,- Почему возникают проблемы с выплатой?
296,"Я использовала продукцию рассрочки, остаток средств на счету составляет 0000 руб, как мне их вернуть?"
297,"- Какую документацию необходимо проверить для того, чтобы карта была видна?"
298,- Как восстановить доступ к электронной почте после блокировки?
299,- Как установить функцию кэшбека на устройстве?
300,- Как зарегистрировать для использования дебетовый счет?
301,- Как проверять текущую сумму на счете рассрочки?
302,- Почему нет записей операций?
303,"Здравствуйте, где потрачено денежное вознаграждение в размере 0000 рублей?"
304,- Почему уведомления на SMS не приходят?
305,- Какие преимущества бонусного предложения?
306,Адреса для регистрации
307,- Как заставить счет пополниться?
308,"- Как узнать максимальную сумму, которую можно перечислить на кредитную карту?"
309,"- Какие шаги необходимо выполнить, чтобы проверить результат операции?"
310,### Перефразированное версия 1:
311,- Как мне проверить наличие средств на счету?
312,- Какой тип кэшбэка доступен для операций?
313,"Здравствуйте! Происходит случай, что на счет моего поступил сумму 00000 рублей из-за некого незнакомого отправителя."
314,- Когда закончится рабочий день?
315,- Что такое кредитный лимит?
316,- Как создать расчетный счет?
317,Необходимо связать ребенка и смс-сообщение через приложение. Что следует сделать?
318,- Как зарегистрироваться и получить карту для интернет-банкинга?
319,- Как мне восстановить смс?
320,- Как мне восстановить свой кредитный исторический отчет?
321,1. Почему нет отображения информации о кредите XXXXX в приложении?
322,- Как мне получить доступ к моим финансовым данным?
323,- Каков порядок действий для приема денег на кредит?
324,"Здравствуйте, вызовите меня пожалуйста, у меня произошла ошибка со своим приложением после смены номера телефона"
325,- Какие последнее пополнения производили?
326,"- ""Как узнать номер счета для финансовых переводов?"""
327,- Каким образом можно восстановить информацию о ребен小时前 в приложении?
328,- Почему сумма перевода отсутствует на балансе?
329,- Направьте запрос на проверку выполнения оплаты XXXXX?
330,### Перефразированные версии:
331,- Почему у меня есть только уведомления?
332,"- Как происходит подтверждение того, что перевод был осуществлен на мою карту?"
333,- Какой источник содержит информацию о счетах?
334,- Как найти данные о моих финансовых счетах?
335,- Какой вид связи существует между моими действиями и использованием кредитного продукта?
336,- Какие преимущества предоставляют бонусы?
337,- Проверена ли сумма платежа?
338,"Здравствуйте! Как мне теперь использовать мою кредитную карту до того, как она вернусь с офиса?"
339,"1. Какой адрес для сайта, где я могу найти информацию о БИК банка?"
340,- Почему сообщения на моем номере SMS не приходят?
341,- Как я могу найти номер БИК?
342,"- Как мне получить информацию о том, почему возникла проблема с выплыванием кэшбека от покупки таблеток через QR-код?"
343,- Почему у меня возникают проблемы с проверкой номера?
344,- Как мне узнать номер Банковского Индивидуального Идентификатора (БИК)?
345,- Как проверять количество выпущенных дивидентных и купонных средств?
346,"Здравствуйте, прошло 00 число и мне неясно, кто на него перечислил деньги. Нигде нет номера телефона отправителя, куда я могу обратиться для получения информации о нем? Понимаю, что деньги не ожидали."
347,"- Какова причина, по которой необходимо постоянно вводить логин и пароль при входе?"
348,"Здравствуйте! Сегодня мне списали сумму на счет за дебиторку, которую я оплатила через другой банк два месяца назад."
349,- Почему я не могу подтвердить этот номер через SMS-код?
350,- Как мне восстановить удаленную транзакцию из списка сделок?
351,- Как можно отключить пуш уведомления на телефоне?
352,- Как мне найти БИК?
353,- Как сделать вывод из баланса?
354,"- Как я могу узнать, имеется ли у меня счёт кредитной карты?"
355,"Добрый день! Я не могу найти информацию о том, где эти средства были deposited после моей транзакции. Как мне это проверить?"
356,Не могу выплачивать долги из-за блокировки средств.
357,- Как следует действия для восстановления уведомлений и SMS?
358,"- ""Сколько составляет последняя сумма?"""
359,Приветствие: Почему мои карта и платежный символ не отображаются?
360,"- Как сделать так, чтобы кредитная карта отобразилась в приложении?"
361,- Почему баланс на кредитной карте уменьшился после оплаты?
362,- Как мне можно настроить показ кредитной карты в приложении?
363,- Какой шаг требуется выполнить для восстановления старой карты в приложении?
364,- Почему нет возможности установить кредитную карту через приложение?
365,- Как создать дебетовый счет?
366,- Как получить бонусы сверху?
367,- Как найти электронный адрес банка?
368,- Как узнать дату окончания действия кредитной карты?
369,- Как найти 000 тысяч?
370,Вот в истории затраты не отображаются
371,"- Что нужно сделать, чтобы деньги начали отображаться на счету?"
372,"Кэшбэк это система вознаграждений за покупки, которая позволяет пользователям зарабатывать бонусы или деньги обратно на их расходы. Это часто используется для повышения лояльности клиентов и attractивать новых потенциальных клиентов."
373,- Какова вероятность получения одобрения?
374,- Почему нет никаких уведомлений о снижении лимита?
375,- Что такое кэш-бэк?
376,- Почему ребенок не может видеть свою карту в личном кабинете?
377,- Почему мои средства отсутствуют на карте?
378,"- Что нужно сделать, чтобы заблокировать временный пароль?"
379,- Какой процесс необходимо пройти для установки новых данных о замененной карте?
380,- Какой метод можно использовать для отображения кредитной карты в приложении?
381,- Как мне найти информацию о расчетном счете?
382,- Почему мне не приходит информация о пополнении счета на карту?
383,- Как мне найти все реквизиты счета без указания фамилии?
384,"- ""Как мне узнать размер бонусной программы на моей кредитной карте?"""
385,- Почему история операций недоступна?
386,- Что я получил на счет?
387,"Добрый день, мне необходима информация о счете и реквизитах банка."
388,- Как найти информацию о месте покупки?
389,"- Как избежать ситуации, когда счет находится на другой сумме?"
390,"- Что мне нужно сделать, чтобы деньги были restored?"
391,- Как можно удалить уведомление об открытии счета?
392,- Как оформить и получить карту в Санкт-Петербурге завтра?
393,Деньги были перечислены?
394,По каким действиям
395,- Как мне узнать номер моей карты?
396,В приложении история операций пропала до 0000 года. Как мне найти сведения за последние 0 лет?
397,- Как办理手续才能更改已注销的银行卡号码？
398,- Как я могу перевести средства на счет?
399,- Почему нет возможности найти кредитную карту после получения одобрения?
400,- Как узнать информацию о карте?
401,1. Какова стоимость Alpha-sticker (000 руб.) за один год или за каждый месяц в течение всего года?
402,- Почему смс не приходят?
403,- Почему нет прихода смс на номер для подтверждения перевода?
404,- Как вычислить сумму чисел?
405,- Как открыть корреспондентский счет?
406,"- Как узнать ID счета, на котором списывается кредит?"
407,- Почему нет денег на счетах?
408,- Как это происходит?
409,Вот два варианта перефразированного запроса:
410,- Можно ли воспользоваться кредитом до момента получения пластикового чека?
411,Прошли ли последние данные?
412,"Здравствуйте, мне нужна помощь в переключении счета на другую запись для перевода средств и обновлении пароля для входа через интернет-банк."
